Sentence,NER
alex corretja ( spain ) vs. byron black ( zimbabwe ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
david rikl ( czech republic ) vs. hicham arazi ( morocco ),I-PER I-PER O I-LOC I-LOC O O I-PER I-PER O I-LOC O
sjeng schalken ( netherlands ) vs. gilbert schaller ( austria ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
grant stafford ( south africa ) vs. guy forget ( france ),I-PER I-PER O I-LOC I-LOC O O I-PER I-PER O I-LOC O
fernando meligeni ( brazil ) vs. 7 - yevgeny kafelnikov ( russia ),I-PER I-PER O I-LOC O O O O I-PER I-PER O I-LOC O
------------------------,O
4 - goran ivanisevic ( croatia ) vs. andrei chesnokov ( russia ),O O I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
scott draper ( australia ) vs. galo blanco ( spain ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
renzo furlan ( italy ) vs. thomas johansson ( sweden ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
hendrik dreekman ( germany ) vs. greg rusedski ( britain ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
andrei medvedev ( ukraine ) vs. jean-philippe fleurian ( france ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
jan kroslak ( slovakia ) vs. chris woodruff ( u.s. ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
qualifier vs. petr korda ( czech republic ),O O I-PER I-PER O I-LOC I-LOC O
bohdan ulihrach ( czech republic ) vs. 14 - alberto costa,I-PER I-PER O I-LOC I-LOC O O O O I-PER I-PER
( spain ),O I-LOC O
------------------------,O
12 - todd martin ( u.s. ) vs. younnes el aynaoui ( morocco ),O O I-PER I-PER O I-LOC O O I-PER I-PER I-PER O I-LOC O
andrea gaudenzi ( italy ) vs. shuzo matsuoka ( japan ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
doug flach ( u.s. ) vs. qualifier,I-PER I-PER O I-LOC O O O
mats wilander ( sweden ) vs. tim henman ( britain ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
paul haarhuis ( netherlands ) vs. michael joyce ( u.s. ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
michael tebbutt ( australia ) vs. richey reneberg ( u.s. ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
jonathan stark ( u.s. ) vs. bernd karbacher ( germany ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
stefan edberg ( sweden ) vs. 5 - richard krajicek ( netherlands ),I-PER I-PER O I-LOC O O O O I-PER I-PER O I-LOC O
------------------------,O
6 - andre agassi ( u.s. ) vs. mauricio hadad ( colombia ),O O I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
marcos ondruska ( south africa ) vs. felix mantilla ( spain ),I-PER I-PER O I-LOC I-LOC O O I-PER I-PER O I-LOC O
carlos moya ( spain ) vs. scott humphries ( u.s. ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
jan siemerink ( netherlands ) vs. carl-uwe steeb ( germany ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
qualifier vs. qualifier,O O O
david wheaton ( u.s. ) vs. kevin kim ( u.s. ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
nicolas lapentti ( ecuador ) vs. alex o'brien ( u.s. ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
karim alami ( morocco ) vs. 11 - malivai washington ( u.s. ),I-PER I-PER O I-LOC O O O O I-PER I-PER O I-LOC O
------------------------,O
13 - thomas enqvist ( sweden ) vs. stephane simian ( france ),O O I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
guillaume raoux ( france ) vs. filip dewulf ( belgium ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
mark knowles ( bahamas ) vs. marcelo filippini ( uruguay ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
todd woodbridge ( australia ) vs. qualifier,I-PER I-PER O I-LOC O O O
kris goossens ( belgium ) vs. sergi bruguera ( spain ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
qualifier vs. michael stich ( germany ),O O I-PER I-PER O I-LOC O
qualifier vs. chuck adams ( u.s. ),O O I-PER I-PER O I-LOC O
javier frana ( argentina ) vs. 3 - thomas muster ( austria ),I-PER I-PER O I-LOC O O O O I-PER I-PER O I-LOC O
------------------------,O
8 - jim courier ( u.s. ) vs. javier sanchez ( spain ),O O I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
jim grabb ( u.s. ) vs. sandon stolle ( australia ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
patrick rafter ( australia ) vs. kenneth carlsen ( denmark ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
jason stoltenberg ( australia ) vs. stefano pescosolido ( italy ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
arnaud boetsch ( france ) vs. nicolas pereira ( venezuela ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
carlos costa ( spain ) vs. magnus gustafsson ( sweden ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
jeff tarango ( u.s. ) vs. alex radulescu ( germany ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
qualifier vs. 10 - marcelo rios ( chile ),O O O O I-PER I-PER O I-LOC O
------------------------,O
15 - marc rosset ( switzerland vs. jared palmer ( u.s. ),O O I-PER I-PER O I-LOC O I-PER I-PER O I-LOC O
martin damm ( czech republic ) vs. hernan gumy ( argentina ),I-PER I-PER O I-LOC I-LOC O O I-PER I-PER O I-LOC O
nicklas kulti ( sweden ) vs. jakob hlasek ( switzerland ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
cecil mamiit ( u.s. ) vs. alberto berasategui ( spain ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O
vince spadea ( u.s. ) vs. daniel vacek ( czech republic ),I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC I-LOC O
david prinosil ( germany ) vs. qualifier,I-PER I-PER O I-LOC O O O
qualifier vs. tomas carbonell ( spain ),O O I-PER I-PER O I-LOC O
qualifier vs. 2 - michael chang ( u.s. ),O O O O I-PER I-PER O I-LOC O
-docstart-,O
baseball - orioles ' manager davey johnson hospitalized .,O O I-ORG O O I-PER I-PER O O
baltimore 1996-08-22,I-LOC O
baltimore orioles manager davey johnson will miss thursday night 's game against the seattle mariners after being admitted to a hospital with an irregular heartbeat .,I-ORG I-ORG O I-PER I-PER O O O O O O O O I-ORG I-ORG O O O O O O O O O O O
the 53-year-old johnson was hospitalized after experiencing dizziness .,O O I-PER O O O O O O
""" he is in no danger and will be treated and observed this evening , "" said orioles team physician dr. william goldiner , adding that johnson is expected to be released on friday .",O O O O O O O O O O O O O O O O O I-ORG O O O I-PER I-PER O O O I-PER O O O O O O O O
orioles ' bench coach andy etchebarren will manage the club in johnson 's absence .,I-ORG O O O I-PER I-PER O O O O O I-PER O O O
johnson is the second manager to be hospitalized this week after california angels skipper john mcnamara was admitted to new york 's columbia presbyterian hospital on wednesday with a blood clot in his left calf .,I-PER O O O O O O O O O O I-ORG I-ORG O I-PER I-PER O O O I-LOC I-LOC O I-LOC I-LOC I-LOC O O O O O O O O O O O
"johnson , who played eight seasons in baltimore , was named orioles manager in the off-season replacing phil regan .",I-PER O O O O O O I-LOC O O O I-ORG O O O O O I-PER I-PER O
he led the cincinnati reds to the national league championship series last year and guided the new york mets to a world series championship in 1986 .,O O O I-ORG I-ORG O O I-MISC I-MISC I-MISC I-MISC O O O O O I-ORG I-ORG I-ORG O O I-MISC I-MISC O O O O
baltimore has won 16 of its last 22 games to pull within five games of the slumping new york yankees in the american league east division .,I-ORG O O O O O O O O O O O O O O O O I-ORG I-ORG I-ORG O O I-MISC I-MISC I-MISC I-MISC O
-docstart-,O
baseball - major league standings after wednesday 's games .,O O I-MISC I-MISC O O O O O O
new york 1996-08-22,I-LOC I-LOC O
major league baseball,I-MISC I-MISC I-MISC
"standings after games played on wednesday ( tabulate under won ,",O O O O O O O O O O O
"lost , winning percentage and games behind ) :",O O O O O O O O O
american league,I-MISC I-MISC
eastern division,I-MISC I-MISC
w l pct gb,O O O O
new york 72 53 .576 -,I-ORG I-ORG O O O O
baltimore 67 58 .536 5,I-ORG O O O O
boston 63 64 .496 10,I-ORG O O O O
toronto 58 69 .457 15,I-ORG O O O O
detroit 44 82 .349 28 1/2,I-ORG O O O O O
central division,I-MISC I-MISC
cleveland 76 51 .598 -,I-ORG O O O O
chicago 69 59 .539 7 1/2,I-ORG O O O O O
minnesota 63 63 .500 12 1/2,I-ORG O O O O O
milwaukee 60 68 .469 16 1/2,I-ORG O O O O O
kansas city 58 70 .453 18 1/2,I-ORG I-ORG O O O O O
western division,I-MISC I-MISC
texas 73 54 .575 -,I-ORG O O O O
seattle 64 61 .512 8,I-ORG O O O O
oakland 62 67 .481 12,I-ORG O O O O
california 58 68 .460 14 1/2,I-ORG O O O O O
"thursday , august 22 schedule",O O O O O
oakland at boston,I-ORG O I-LOC
seattle at baltimore,I-ORG O I-LOC
california at new york,I-ORG O I-LOC I-LOC
toronto at chicago,I-ORG O I-LOC
detroit at kansas city,I-ORG O I-LOC I-LOC
texas at minnesota,I-ORG O I-LOC
national league,I-MISC I-MISC
eastern division,I-MISC I-MISC
w l pct gb,O O O O
atlanta 79 46 .632 -,I-ORG O O O O
montreal 67 58 .536 12,I-ORG O O O O
new york 59 69 .461 21 1/2,I-ORG I-ORG O O O O O
florida 58 69 .457 22,I-ORG O O O O
philadelphia 52 75 .409 28,I-ORG O O O O
central division,I-MISC I-MISC
houston 68 59 .535 -,I-ORG O O O O
st louis 67 59 .532 1/2,I-ORG I-ORG O O O O
chicago 63 62 .504 4,I-ORG O O O O
cincinnati 62 62 .500 4 1/2,I-ORG O O O O O
pittsburgh 53 73 .421 14 1/2,I-ORG O O O O O
western division,I-MISC I-MISC
san diego 70 59 .543 -,I-ORG I-ORG O O O O
los angeles 66 60 .524 2 1/2,I-ORG I-ORG O O O O O
colorado 65 62 .512 4,I-ORG O O O O
san francisco 54 70 .435 13 1/2,I-ORG I-ORG O O O O O
"thursday , august 22 schedule",O O O O O
st louis at colorado,I-ORG I-ORG O I-LOC
cincinnati at atlanta,I-ORG O I-LOC
pittsburgh at houston,I-ORG O I-LOC
philadelphia at los angeles,I-ORG O I-LOC I-LOC
montreal at san francisco,I-ORG O I-LOC I-LOC
-docstart-,O
baseball - major league results wednesday .,O O I-MISC I-MISC O O O
new york 1996-08-22,I-LOC I-LOC O
results of major league,O O I-MISC I-MISC
baseball games played on wednesday ( home team in caps ) :,O O O O O O O O O O O O
american league,I-MISC I-MISC
california 7 new york 1,I-ORG O I-ORG I-ORG O
detroit 7 chicago 4,I-ORG O I-ORG O
milwaukee 10 minnesota 7,I-ORG O I-ORG O
boston 6 oakland 4,I-ORG O I-ORG O
baltimore 10 seattle 5,I-ORG O I-ORG O
texas 10 cleveland 8 ( in 10 ),I-ORG O I-ORG O O O O O
toronto 6 kansas city 2,I-ORG O I-ORG I-ORG O
national league,I-MISC I-MISC
chicago 8 florida 3,I-ORG O I-ORG O
san francisco 12 new york 11,I-ORG I-ORG O I-ORG I-ORG O
atlanta 4 cincinnati 3,I-ORG O I-ORG O
pittsburgh 5 houston 2,I-ORG O I-ORG O
colorado 10 st louis 2,I-ORG O I-ORG I-ORG O
philadelphia 6 los angeles 0,I-ORG O I-ORG I-ORG O
san diego 7 montreal 2,I-ORG I-ORG O I-ORG O
-docstart-,O
baseball - greer homer in 10th lifts texas past indians .,O O I-PER O O O O I-ORG O I-ORG O
cleveland 1996-08-22,I-LOC O
rusty greer 's two-run homer in the top of the 10th inning rallied the texas rangers to a 10-8 victory over the cleveland indians wednesday in the rubber game of a three-game series between division leaders .,I-PER I-PER O O O O O O O O O O O O I-ORG I-ORG O O O O O O I-ORG I-ORG O O O O O O O O O O O O O
"with one out , greer hit a 1-1 pitch from julian tavarez ( 4-7 ) over the right-field fence for his 15th home run .",O O O O I-PER O O O O O I-PER I-PER O O O O O O O O O O O O O
""" it was an off-speed pitch and i just tried to get a good swing on it and put it in play , "" greer said . """,O O O O O O O O O O O O O O O O O O O O O O O O I-PER O O O
this was a big game .,O O O O O O
"the crowd was behind him and it was intense . """,O O O O O O O O O O O
"the shot brought home ivan rodriguez , who had his second double of the game , giving him 42 this season , 41 as a catcher .",O O O O I-PER I-PER O O O O O O O O O O O O O O O O O O O O O
"he joined mickey cochrane , johnny bench and terry kennedy as the only catchers with 40 doubles in a season .",O O I-PER I-PER O I-PER I-PER O I-PER I-PER O O O O O O O O O O O
the rangers have won 10 of their last 12 games and six of nine meetings against the indians this season .,O I-ORG O O O O O O O O O O O O O O O I-ORG O O O
"the american league western leaders have won eight of 15 games at jacobs field , joining the yankees as the only teams with a winning record at the a.l. central leaders ' home .",O I-MISC I-MISC I-MISC O O O O O O O O I-LOC I-LOC O O O I-ORG O O O O O O O O O O I-MISC I-MISC O O O O
cleveland lost for just the second time in six games .,I-ORG O O O O O O O O O O
the indians sent the game into extra innings in the ninth on kenny lofton 's two-run single .,O I-ORG O O O O O O O O O O I-PER I-PER O O O O
"ed vosberg ( 1-0 ) blew his first save opportunity but got the win , allowing three hits with two walks and three strikeouts in 1 2/3 scoreless innings .",I-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O
dean palmer hit his 30th homer for the rangers .,I-PER I-PER O O O O O O I-ORG O
"in baltimore , cal ripken had four hits and snapped a fifth-inning tie with a solo homer and bobby bonilla added a three-run shot in the seventh to power the surging orioles to a 10-5 victory over the seattle mariners .",O I-LOC O I-PER I-PER O O O O O O O O O O O O O I-PER I-PER O O O O O O O O O O O I-ORG O O O O O O I-ORG I-ORG O
the mariners scored four runs in the top of the fifth to tie the game 5-5 but ripken led off the bottom of the inning with his 21st homer off starter sterling hitchcock ( 12-6 ) .,O I-ORG O O O O O O O O O O O O O O O I-PER O O O O O O O O O O O O O I-PER I-PER O O O O
"bonilla 's blast was the first time randy johnson , last season 's cy young winner , allowed a run in five relief appearances since coming off the disabled list on august 6 .",I-PER O O O O O O I-PER I-PER O O O O I-PER I-PER O O O O O O O O O O O O O O O O O O O
bonilla has 21 rbi and 15 runs in his last 20 games .,I-PER O O I-MISC O O O O O O O O O
baltimore has won seven of nine and 16 of its last 22 and cut the yankees ' lead in the a.l. east to five games .,I-LOC O O O O O O O O O O O O O O I-ORG O O O O I-MISC I-MISC O O O O
scott erickson ( 8-10 ) laboured to his third straight win .,I-PER I-PER O O O O O O O O O O
"alex rodriguez had two homers and four rbi for the mariners , who have dropped three in a row and 11 of 15 .",I-PER I-PER O O O O O I-MISC O O I-ORG O O O O O O O O O O O O O
he became the fifth shortstop in major-league history to hit 30 homers in a season and the first since ripken hit 34 in 1991 .,O O O O O O O O O O O O O O O O O O O I-PER O O O O O
chris hoiles hit his 22nd homer for baltimore .,I-PER I-PER O O O O O I-LOC O
"in new york , jason dickson scattered 10 hits over 6 1/3 innings in his major-league debut and chili davis belted a homer from each side of the plate as the california angels defeated the yankees 7-1 .",O I-LOC I-LOC O I-PER I-PER O O O O O O O O O O O O I-PER I-PER O O O O O O O O O O O I-ORG I-ORG O O I-ORG O O
dickson allowed a homer to derek jeter on his first major-league pitch but settled down .,I-PER O O O O I-PER I-PER O O O O O O O O O
"he was the 27th pitcher used by the angels this season , tying a major-league record .",O O O O O O O O I-ORG O O O O O O O O
jimmy key ( 9-10 ) took the loss as the yankees lost their ninth in 14 games .,I-PER I-PER O O O O O O O O I-ORG O O O O O O O
they stranded 11 baserunners .,O O O O O
"california played without interim manager john mcnamara , who was admitted to a new york hospital with a blood clot in his right calf .",I-LOC O O O O I-PER I-PER O O O O O O I-LOC I-LOC O O O O O O O O O O
"in boston , mike stanley 's bases-loaded two-run single snapped an eighth-inning tie and gave the red sox their third straight win , 6-4 over the oakland athletics .",O I-LOC O I-PER I-PER O O O O O O O O O O O I-ORG I-ORG O O O O O O O O I-ORG I-ORG O
stanley owns a .367 career batting average with the bases loaded ( 33-for-90 ) .,I-PER O O O O O O O O O O O O O O
"boston 's mo vaughn went 3-for-3 with a walk , stole home for one of his three runs scored and collected his 116th rbi .",I-LOC O I-PER I-PER O O O O O O O O O O O O O O O O O O O I-MISC O
"scott brosius homered and drove in two runs for the athletics , who have lost seven of their last nine games .",I-PER I-PER O O O O O O O O I-ORG O O O O O O O O O O O
"in detroit , brad ausmus 's three-run homer capped a four-run eighth and lifted the tigers to a 7-4 victory over the reeling chicago white sox .",O I-LOC O I-PER I-PER O O O O O O O O O O I-ORG O O O O O O O I-ORG I-ORG I-ORG O
"the tigers have won consecutive games after dropping eight in a row , but have won nine of their last 12 at home .",O I-ORG O O O O O O O O O O O O O O O O O O O O O O
the white sox have lost six of their last eight games .,O I-ORG I-ORG O O O O O O O O O
"in kansas city , juan guzman tossed a complete-game six-hitter to win for the first time in over a month and lower his league-best era as the toronto blue jays won their fourth straight , 6-2 over the royals .",O I-LOC I-LOC O I-PER I-PER O O O O O O O O O O O O O O O O O O I-MISC O O I-ORG I-ORG I-ORG O O O O O O O O I-ORG O
"guzman ( 10-8 ) won for the first time since july 16 , a span of six starts .",I-PER O O O O O O O O O O O O O O O O O O
he allowed two runs -- one earned -- and lowered his era to 2.99 .,O O O O O O O O O O O I-MISC O O O
"at minnesota , john jaha 's three-run homer , his 26th , capped a five-run eighth inning that rallied the milwaukee brewers to a 10-7 victory over the twins .",O I-LOC O I-PER I-PER O O O O O O O O O O O O O O O I-ORG I-ORG O O O O O O I-ORG O
jaha added an rbi single in the ninth and had four rbi .,I-PER O O I-MISC O O O O O O O I-MISC O
jose valentin hit his 21st homer for milwaukee .,I-PER I-PER O O O O O I-ORG O
-docstart-,O
soccer - cocu double earns psv 4-1 win .,O O I-PER O O I-ORG O O O
amsterdam 1996-08-22,I-LOC O
philip cocu scored twice in the second half to spur psv eindhoven to a 4-1 away win over nec nijmegen in the dutch first division on thursday .,I-PER I-PER O O O O O O O O I-ORG I-ORG O O O O O O I-ORG I-ORG O O I-MISC O O O O O
he scored from close range in the 54th minute and from a bicycle kick 13 minutes later .,O O O O O O O O O O O O O O O O O O
"arthur numan and luc nilis , dutch top scorer last season , were psv 's other marksmen .",I-PER I-PER O I-PER I-PER O I-MISC O O O O O O I-ORG O O O O
ajax amsterdam opened their title defence with a 1-0 win over nac breda on wednesday .,I-ORG I-ORG O O O O O O O O O I-ORG I-ORG O O O
-docstart-,O
soccer - dutch first division summary .,O O I-MISC O O O O
amsterdam 1996-08-22,I-LOC O
summary of thursday 's only,O O O O O
dutch first division match :,I-MISC O O O O
"nec nijmegen 1 ( van eykeren 15th ) psv eindhoven 4 ( numan 11th ,",I-ORG I-ORG O O O O O O I-ORG I-ORG O O O O O
"nilis 42nd , cocu 54th , 67th ) .",I-PER O O I-PER O O O O O
halftime 1-2 .,O O O
"attendance 8,000",O O
-docstart-,O
soccer - dutch first division result .,O O I-MISC O O O O
amsterdam 1996-08-22,I-LOC O
result of a dutch first,O O O I-MISC O
division match on thursday :,O O O O O
nec nijmegen 1 psv eindhoven 4,I-ORG I-ORG O I-ORG I-ORG O
-docstart-,O
soccer - sharpshooter knup back in swiss squad .,O O O I-PER O O I-MISC O O
geneva 1996-08-22,I-LOC O
"galatasaray striker adrian knup , scorer of 26 goals in 45 internationals , has been recalled by switzerland for the world cup qualifier against azerbaijan in baku on august 31 .",I-ORG O I-PER I-PER O O O O O O O O O O O O O I-LOC O O I-MISC I-MISC O O I-LOC O I-LOC O O O O
knup was overlooked by artur jorge for the european championship finals earlier this year .,I-PER O O O I-PER I-PER O O I-MISC O O O O O O
